,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
25,2022,4,F,1,2,1,2,0,2,,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1088.0,1058.0,1067.0,1077.0,433.2,314.8,538.9,439.5,0,1.0,700.0,H,C,F,B,3,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A
26,2022,2,F,1,1,1,2,0,3,1.0,0,5300108.0,Brasília,53.0,DF,4.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1085.0,1057.0,1068.0,1075.0,394.3,609.4,597.4,607.7,0,1.0,680.0,E,E,D,D,5,F,A,C,E,B,A,B,B,C,B,B,B,B,C,B,A,E,A,C,B
27,2022,3,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1088.0,1058.0,1067.0,1077.0,486.8,465.4,472.8,404.5,1,1.0,560.0,E,D,D,B,4,C,A,B,C,A,B,B,B,B,A,A,A,A,B,A,A,D,A,B,B
28,2022,3,F,1,1,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,1.0,2.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,462.4,431.6,475.9,541.6,1,1.0,400.0,E,F,C,D,4,D,A,C,C,B,A,B,B,B,A,B,A,B,B,A,A,E,A,A,B
29,2022,4,M,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1088.0,1058.0,1067.0,1077.0,409.6,513.0,500.1,376.8,0,4.0,0.0,H,D,F,B,3,B,A,B,C,A,A,B,B,B,A,A,A,A,B,A,A,C,B,A,B
30,2022,3,F,1,2,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1087.0,1056.0,1066.0,1078.0,449.1,526.9,497.0,392.1,1,1.0,560.0,F,D,D,F,4,E,A,B,C,B,A,B,A,B,A,B,A,A,B,A,A,C,A,A,B
31,2022,2,M,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1088.0,1058.0,1067.0,1077.0,488.7,597.7,569.8,475.8,0,1.0,620.0,C,D,C,B,4,E,A,C,D,B,A,B,A,B,A,B,A,A,C,B,A,E,A,C,B
32,2022,4,F,1,2,1,2,0,2,,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,0,0,0,0,,,,,,,,,1,,,C,C,F,B,4,B,A,B,C,A,A,B,A,B,A,B,A,A,A,A,A,A,A,A,B
33,2022,2,M,1,2,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1088.0,1058.0,1067.0,1077.0,459.8,512.4,465.6,425.0,1,1.0,580.0,E,G,B,D,4,F,B,D,E,C,A,B,A,B,A,A,A,A,C,B,B,E,B,D,B
34,2022,2,M,1,1,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,551.6,606.2,528.7,461.8,0,1.0,620.0,F,F,F,D,4,C,A,B,C,A,B,B,A,B,A,B,A,A,B,A,A,E,A,B,B
